time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.15346261642e-07,0.0177997139556,10.0417420957,0.456965056069,0.000169652355085,0.0,-4.63993299226e-05,0.968044328057,1.21460961056,-10.8199934957,0.00795595636472,0.0,899.875474833,900.197361279,900.082885632,-0.117151944295
0.12000000000000001,-2.10906684408e-05,0.0765412695533,10.1352131834,5.40862981922,0.000905757793872,0.0,-0.000839630880596,0.956658283048,1.0146805346,-19.2806199221,0.0197349787223,0.0,899.830650334,900.307298356,900.01958403,0.218788476085
0.18,-0.000146240681091,0.129262948532,10.2145958369,2.27065296005,0.00235444136292,0.0,-0.00376291700936,1.64616184784,1.19872180892,-24.3564127531,0.0317623167392,0.0,899.581009933,900.067729186,900.051976402,0.263443376718
0.23999999999999996,-0.000550620530789,0.277633188371,10.2260254629,1.85446351284,0.00455564399487,0.0,-0.0103746595189,3.32376920019,-0.780243680006,-26.8767985376,0.0450604174496,0.0,899.690074404,900.228122052,899.778414671,-0.135065498305
0.3,-0.00150261439597,0.538703560605,10.1586432269,0.440117218973,0.00790792965939,0.0,-0.0223529325704,5.30851344917,-1.05105362269,-28.0104590348,0.071613065791,0.0,899.401323577,900.476353584,900.003559877,-0.549764309041
0.36000000000000004,-0.00341547541643,0.865213910225,10.1385571511,5.07306172263,0.0126549157253,0.0,-0.0428162605354,5.08111383714,0.31686103843,-28.4994176864,0.0909762427795,0.0,899.39305082,900.179567062,900.317744215,-0.419120445248
0.4200000000000001,-0.00686178583377,1.11083036438,10.1428978157,3.36568028526,0.0184928617969,0.0,-0.074002608127,3.20583375806,-0.676529161185,-28.705995641,0.107625326793,0.0,899.226618297,899.905730957,900.469899854,-0.277437345511
0.48000000000000015,-0.0125903607736,1.30849811392,10.0243229871,1.64253742852,0.0254773283606,0.0,-0.118886610055,3.86763439138,-3.0872958209,-28.786103382,0.129860140054,0.0,899.234133148,900.139613015,900.19899329,-0.122790620817
0.5400000000000001,-0.0214676003579,1.59829880668,9.83636055377,6.19799262146,0.0335093724913,0.0,-0.179875919692,5.53731437498,-2.71212489693,-28.8165214989,0.140843409926,0.0,899.401556307,899.853835405,900.066451204,0.104432577438
0.6000000000000002,-0.0345163116814,1.90712791209,9.71070940917,4.46874434486,0.0422070547596,0.0,-0.257390335187,4.3638503,-1.80103372999,-28.8282947809,0.15212665714,0.0,899.69535625,900.16330965,900.028893597,0.18465671865
0.6600000000000003,-0.0528188627693,2.118309188,9.55287647129,2.73891635332,0.0515571810663,0.0,-0.355876937674,3.05854707396,-3.81902683466,-28.8339845397,0.162395151369,0.0,899.956672766,900.383993591,900.074430378,0.183481144959
0.7200000000000003,-0.0775678665886,2.34035971209,9.26186219185,1.00872682477,0.0614774485129,0.0,-0.472427808885,4.63358395735,-5.44638238326,-28.8406011553,0.170648440266,0.0,899.917196768,900.262101137,900.300991872,0.515789725907
0.7800000000000004,-0.110058112197,2.65596265639,8.96466755341,5.56141818313,0.071887353839,0.0,-0.612860338218,5.40951702773,-4.27082359481,-28.8430671,0.178626928729,0.0,899.951682882,900.289436001,900.287949812,0.515161286002
0.8400000000000004,-0.151496104748,2.93088309297,8.71971603968,3.83084288852,0.082930058135,0.0,-0.773540989868,3.6004580783,-4.3883247507,-28.8427028463,0.193116078782,0.0,900.096333142,900.700616056,900.215221044,0.389859030044
0.9000000000000005,-0.203407022701,3.12519109886,8.38309729797,2.10023076504,0.0947549803534,0.0,-0.957796927915,3.38139764882,-6.85890997468,-28.8448255725,0.204012532781,0.0,900.168627485,900.625787314,900.33538834,0.349619604544
0.9600000000000005,-0.267027081085,3.3849544884,7.94322918446,0.369675864832,0.107129697919,0.0,-1.16976641737,5.25875063258,-7.27447754793,-28.8394100951,0.210331419292,0.0,900.049739948,900.325218473,900.002908645,0.0790774391955
1.0200000000000005,-0.344166550261,3.70299863754,7.54673097287,4.92263571827,0.120031061508,0.0,-1.40303397507,4.87693140811,-6.07363418704,-28.8338196362,0.223042648666,0.0,900.021683394,900.560813111,899.824586201,-0.00472261203974
1.0800000000000005,-0.436309332903,3.93762947099,7.15702667439,3.19257137992,0.13360417183,0.0,-1.67343224135,3.12895158349,-7.39849299871,-28.8353067657,0.231942013043,0.0,900.10037359,900.486250734,900.024532708,0.133334666594
1.1400000000000006,-0.544912734978,4.13978036728,6.64228506428,1.46242279235,0.147834406457,0.0,-1.9510289138,4.03355738263,-9.50318925303,-28.8365812915,0.245969915531,0.0,899.928912618,900.521350099,900.059698876,0.0407315148969
1.2000000000000006,-0.671850026593,4.43451799369,6.08176578434,6.01540232251,0.16275506287,0.0,-2.28378056002,5.44148004297,-8.82621915151,-28.8370387775,0.253555169671,0.0,900.153930215,900.492281343,900.056258081,-0.0504138594249
1.2600000000000007,-0.819159660416,4.73111643675,5.57853406349,4.2851534157,0.178391249149,0.0,-2.6367968318,4.1017864882,-8.30262554962,-28.838159927,0.271874123271,0.0,899.777742688,900.555409925,900.105641507,0.0175015148328
1.3200000000000007,-0.989055181795,4.93508522538,5.0221427621,2.55483413317,0.195371243264,0.0,-3.0175972751,3.12940749759,-10.4357189022,-28.8394133418,0.299051561369,0.0,899.63124922,900.767153503,900.147628753,0.205086978222
1.3800000000000008,-1.18166580287,5.16502779541,4.34836403192,0.824647485347,0.213828840041,0.0,-3.42439647547,4.76706094485,-11.5671649963,-28.83233083,0.320800057469,0.0,899.66761912,900.591422373,899.745736543,0.499475810188
